mapzen_name,adm0_id
El Salvador,75
Democratic Republic of the Congo,68
Republic of Cabo Verde,47
Iraq,118
Somalia,226
Mozambique,170
Laos,139
Lebanon,141
Tanzania,257
Colombia,57
Pakistan,188
East Timor,242
Republic of the Philippines,196
Republic of Congo,59
Peru,195
Armenia,13
Mauritania,159
Djibouti,70
Guatemala,103
Sri Lanka,231
Bangladesh,23
Syria,238
Burundi,43
Benin,29
Guinea,106
Bolivia,33
Ivory Coast,66
Cameroon,45
Nigeria,182
South Sudan,70001
Senegal,217
Yemen,269
Mali,155
Lesotho,142
Malawi,152
Guinea Bissau,105
Kyrgyzstan,138
Gambia,90
Myanmar,171
Central African Republic,49
Liberia,144
Madagascar,150
India,115
Ghana,94
Zimbabwe,271
Kenya,133
Burkina Faso,42
Afghanistan,1
Uganda,253
Cambodia,44
Nepal,175
Tajikistan,239
Chad,50
Georgia,92
Algeria,4
Haiti,108
Ethiopia,79
Niger,181
Sudan,40764
Ukraine,254
Rwanda,205
Iran,117
Zambia,270
